frequency, decay constant, Q, amplitude, phase, error
1.91779, -1.451393e-03, -4151.13, 0.00981628, 1.20219, 2.352777e-07
1.92169, -2.834624e-04, -21298, 0.00110265, -1.36583, 2.876493e-08
1.92454, 2.003630e-04, 30175.8, 0.0169063, 1.31794, 4.834968e-07
1.92817, -3.579277e-04, -16923.9, 0.00464005, 1.20943, 2.101126e-07
1.93165, -5.050663e-04, -12015.2, 0.000655314, -0.630382, 4.236541e-08
1.93482, 1.009246e-03, 6022.73, 0.00980746, 1.52704, 4.547349e-07
1.93905, -3.402334e-04, -17904.5, 0.000349621, -0.758955, 2.824053e-08
1.9418, -4.958789e-04, -12302.1, 0.00273188, 1.51615, 1.825025e-07
1.94539, 3.021203e-03, 2022.91, 0.00542486, 2.18294, 3.969354e-07
1.94867, -7.161331e-04, -8548.61, 0.00227637, 1.45652, 3.550595e-07
1.95202, -2.278367e-04, -26915.9, 0.000445564, 1.48179, 3.169836e-08
1.95548, 2.005131e-03, 3063.8, 0.00359676, 2.30884, 4.705136e-07
1.95901, 9.857397e-04, 6243.44, 0.00100976, 2.50366, 1.070704e-07
1.96284, -1.779628e-04, -34650.2, 8.39888e-05, -0.146472, 1.957926e-08
1.96613, 3.865142e-03, 1598.08, 0.00211291, -2.7782, 3.877231e-07
1.96924, 1.159111e-03, 5337.31, 0.000885032, 2.95992, 4.402749e-07
1.9724, 1.954079e-03, 3171.05, 0.0010774, -3.02345, 2.335361e-07
1.97614, 1.173340e-03, 5291.08, 0.000667339, 3.07604, 4.971590e-07
1.97952, 3.185652e-03, 1952.14, 0.00092421, -2.16179, 3.527935e-07
1.98321, 5.551697e-04, 11222.6, 0.000183143, -2.31659, 3.904332e-07
1.98653, 3.194182e-03, 1953.82, 0.000797943, -1.93956, 4.410557e-07
1.98985, -4.148095e-05, -150703, 1.28565e-07, -2.31928, 2.857068e-08
1.99302, 2.761836e-04, 22670.7, 3.8118e-05, -0.916164, 7.925118e-08
1.99685, 2.793008e-04, 22460.7, 0.000134813, -0.385877, 6.638791e-07
1.99983, -3.532964e-05, -177829, 4.25521e-07, 1.88749, 2.648271e-08
