2340.425	2331.142	2343.520	2343.520	2336.299	2397.157	2409.534	2416.755	2364.149	2336.299	2342.488	2334.236	2341.457
2356.929	2337.331	2353.834	2352.803	2333.205	2427.069	2437.384	2413.660	2364.149	2344.551	2349.709	2340.425	2343.520
2356.929	2369.307	2357.960	2362.086	2343.520	2415.723	2423.975	2432.227	2360.023	2352.803	2360.023	2347.646	2355.897
2351.919	2346.172	2354.129	2351.919	2343.814	2412.481	2428.690	2421.617	2362.823	2348.382	2355.308	2344.256	2349.414
2352.066	2345.877	2354.129	2352.803	2343.078	2414.544	2430.753	2422.354	2361.202	2348.677	2353.834	2343.520	2348.088
2351.182	2347.793	2355.308	2351.919	2345.877	2414.692	2431.343	2425.596	2362.528	2350.298	2356.192	2344.698	2350.445
2352.214	2345.288	2352.656	2348.972	2346.909	2415.428	2434.290	2425.006	2363.855	2348.382	2353.834	2343.962	2347.793
2349.561	2346.761	2352.950	2346.172	2345.583	2416.607	2436.058	2424.417	2363.118	2350.003	2353.982	2342.193	2348.088
2354.276	2347.351	2352.508	2347.646	2349.266	2422.207	2439.447	2430.459	2366.507	2349.856	2354.276	2346.172	2347.056
2351.624	2349.414	2354.276	2346.172	2348.088	2425.006	2442.542	2432.227	2368.128	2352.361	2355.308	2343.372	2348.530
2353.098	2348.677	2352.214	2348.972	2348.382	2428.248	2444.899	2436.942	2368.422	2349.856	2352.656	2345.435	2346.909
2354.424	2352.508	2354.866	2349.856	2352.066	2432.964	2450.351	2440.037	2371.812	2352.361	2355.603	2348.530	2349.266
2356.045	2354.424	2353.245	2350.593	2352.656	2439.152	2453.741	2444.162	2373.433	2351.329	2355.603	2349.709	2348.824
2355.013	2354.571	2353.392	2351.624	2351.624	2439.447	2455.214	2446.373	2374.317	2352.214	2357.076	2349.709	2350.593
2359.876	2356.339	2353.687	2355.161	2352.508	2444.899	2457.719	2452.267	2378.295	2352.361	2357.518	2351.919	2352.066
